_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67227fb250538de2c2768c3a,,137.24,100,137.24,79.06,51;0;0;0,words,10,-1,0,4.46,0,0,false,false,english,none,normal,false,false,false,,1730314162000
67227fac50538de2c2768bc1,,136.43,100,136.43,65.07,59;0;0;0,words,10,-1,0,5.19,0,0,false,false,english,none,normal,false,false,false,,1730314156000
67227fa550538de2c2768b49,,117.97,96.72,117.97,86.96,59;0;0;0,words,10,-1,1,6,1,6.61,false,false,english,none,normal,false,false,false,,1730314149000
67227f8150538de2c2768905,,130.03,94.23,143.86,71.74,47;2;0;0,words,10,-1,4,4.34,0,7.71,false,false,english,none,normal,false,false,false,,1730314113000
67227f2f50538de2c27683b1,,117.3,94.92,117.3,69.38,56;0;0;0,words,10,-1,1,5.73,0,1.07,false,false,english,none,normal,false,false,false,,1730314031000
67227f2550538de2c2768307,,137.09,100,137.09,94.5,53;0;0;0,words,10,-1,4,4.64,0,8.82,false,false,english,none,normal,false,false,false,,1730314021000
672264a750538de2c274b82d,,137.68,100,137.68,67.14,50;0;0;0,words,10,-1,2,4.36,0,2.51,false,false,english,none,normal,false,false,false,,1730307239000
6722649d50538de2c274b76d,,130.86,96.43,149.55,80.93,49;0;1;0,words,10,-1,2,4.49,0,3.09,false,false,english,none,normal,false,false,false,,1730307229000
67225c5d50538de2c2742024,,132.59,100,132.59,90.81,53;0;0;0,words,10,-1,1,4.8,0,4.57,false,false,english,none,normal,false,false,false,,1730305117000
67225c5150538de2c2741f31,,116.88,100,116.88,79.94,53;0;0;0,words,10,-1,1,5.44,0,0.76,false,false,english,none,normal,false,false,false,,1730305105000
67225c4850538de2c2741e51,,141.98,100,141.98,79,57;0;0;0,words,10,-1,0,4.82,0,0,false,false,english,none,normal,false,false,false,,1730305095000
67225c4250538de2c2741ddf,,143.15,100,143.15,50.97,48;0;0;0,words,10,-1,6,4.02,0,19.97,false,false,english,none,normal,false,false,false,,1730305090000
672257aa50538de2c273c706,,103.79,98.04,103.79,74.72,50;0;0;0,words,10,-1,2,5.78,0,1.11,false,false,english,none,normal,false,false,false,,1730303914000
67224dab50538de2c2730e5c,,124.33,100,124.33,69.37,45;0;0;0,words,10,-1,6,4.34,0,11.84,false,false,english,none,normal,false,false,false,,1730301355000
672133cb50538de2c266e34e,,130.11,100,130.11,92.1,53;0;0;0,words,10,-1,2,4.89,0,5.1,false,false,english,none,normal,false,false,false,,1730229194000
672133b550538de2c266e21a,true,104.94,98.18,104.94,51.3,54;0;0;0,words,10,-1,0,6.17,0,0,true,true,english,none,normal,false,false,false,,1730229173000
672131d750538de2c266c754,true,96.35,98.25,96.35,75.84,56;0;0;0,words,10,-1,1,6.97,0,1.39,true,true,english,none,normal,false,false,false,,1730228695000
6721319750538de2c266c3a2,,124.52,100,124.52,69.37,45;0;0;0,words,10,-1,0,4.34,0,0,false,false,english,none,normal,false,false,false,,1730228631000
6721318650538de2c266c296,true,97.63,96.77,97.63,63.66,60;0;0;0,words,10,-1,7,7.37,0,4.01,true,false,english,none,normal,false,false,false,,1730228614000
67212ec450538de2c2669755,,133.88,100,133.88,59.15,56;0;0;0,words,10,-1,9,5.02,0,20.85,false,false,english,none,normal,false,false,false,,1730227908000
67212e7950538de2c26692ad,,152.79,100,152.79,93.45,46;0;0;0,words,10,-1,4,3.61,0,8.73,false,false,english,none,normal,false,false,false,,1730227833000
6721094350538de2c263efac,,110.49,97.62,110.49,79.95,82;0;0;0,quote,6349,0,4,8.91,0,9.39,false,false,english,none,normal,false,false,false,,1730218307000
6721092450538de2c263ed67,,129.04,100,129.04,92.1,50;0;0;0,words,10,-1,5,4.65,0,12.8,false,false,english,none,normal,false,false,false,,1730218276000
6721086a50538de2c263dffc,,117.58,88.64,156.78,67.86,33;1;2;0,words,10,-1,1,3.37,0,2.49,false,false,english,none,normal,false,false,false,,1730218090000
672102c050538de2c2637489,,151.94,100,151.94,84.69,49;0;0;0,words,10,-1,0,3.87,0,0,false,false,english,none,normal,false,false,false,,1730216640000
672102bb50538de2c2637427,,138.04,96,138.04,50.3,48;0;0;0,words,10,-1,0,4.17,0,0,false,false,english,none,normal,false,false,false,,1730216635000
6721028250538de2c2636fa8,,154.47,100,154.47,90.8,47;0;0;0,words,10,-1,2,3.65,0,3.31,false,false,english,none,normal,false,false,false,,1730216578000
6721008050538de2c263492c,,73.51,92.59,73.51,61.65,75;0;0;0,words,10,-1,1,12.24,0,1.07,false,false,code_csharp,none,normal,false,false,false,,1730216064000
6721006e50538de2c2634807,true,95.03,100,95.03,56.38,74;0;0;0,words,10,-1,0,9.34,0,0,false,false,code_csharp,none,normal,false,false,false,,1730216045000
671fed4650538de2c2572505,,83.69,97.1,83.69,67.12,67;0;0;0,words,10,-1,0,9.61,0,0,false,false,code_python,none,normal,false,false,false,,1730145606000
671fed3550538de2c257242b,,41.08,94.29,47.24,48.34,60;1;1;0,words,10,-1,0,17.53,1,0,false,false,code_python,none,normal,false,false,false,,1730145589000
671fed1b50538de2c25722cb,true,89.45,98.53,89.45,79.11,67;0;0;0,words,10,-1,1,8.99,0,3.33,false,false,code_python,none,normal,false,false,false,,1730145563000
671febba50538de2c2571059,true,109.49,100,109.49,76.72,66;0;0;0,words,10,-1,0,7.23,0,0,false,false,english_shakespearean,none,normal,false,false,false,,1730145210000
671febb150538de2c2570fc7,true,104.85,100,104.85,78.33,58;0;0;0,words,10,-1,4,6.64,0,6.83,false,false,english_shakespearean,none,normal,false,false,false,,1730145201000
671fe94d50538de2c256edb2,,119.84,100,119.84,85.42,57;0;0;0,words,10,-1,0,5.71,0,0,false,false,english,none,normal,false,false,false,,1730144589000
671fe94150538de2c256ed15,,119.31,100,119.31,94.06,58;0;0;0,words,10,-1,0,5.83,0,0,false,false,english,none,normal,false,false,false,,1730144577000
671fe93a50538de2c256ecc3,,114,100,114,79.54,47;0;0;0,words,10,-1,1,4.95,0,2.52,false,false,english,none,normal,false,false,false,,1730144570000
671fe81150538de2c256dc00,,130.41,100,130.41,86.23,51;0;0;0,words,10,-1,1,4.69,0,2.86,false,false,english,none,normal,false,false,false,,1730144273000
671fe67c50538de2c256c445,,153.79,100,153.79,54.31,52;0;0;0,words,10,-1,0,4.06,0,0,false,false,english,none,normal,false,false,false,,1730143868000
671fe67750538de2c256c3fc,,133.83,100,133.83,64.7,57;0;0;0,words,10,-1,0,5.11,0,0,false,false,english,none,normal,false,false,false,,1730143863000
